V1,Clust,Species,Sitecode,Genotype,SampleYear,Project,Site.name,Type,Sitename_geno_year
RRAP-ECT01-2021-Ahya-21550-10,Group4,Ahya,21550,10,2021,ECT01,Reef21550,Experimental,Reef21550_10_2021
RRAP-ECT01-2021-Ahya-21550-11_L4,Group4,Ahya,21550,11,2021,ECT01,Reef21550,Experimental,Reef21550_11_2021
RRAP-ECT01-2021-Ahya-21550-13_L3,Group4,Ahya,21550,13,2021,ECT01,Reef21550,Experimental,Reef21550_13_2021
RRAP-ECT01-2021-Ahya-21550-14_L3,Group4,Ahya,21550,14,2021,ECT01,Reef21550,Experimental,Reef21550_14_2021
RRAP-ECT01-2021-Ahya-21550-15_L3,Group4,Ahya,21550,15,2021,ECT01,Reef21550,Experimental,Reef21550_15_2021
RRAP-ECT01-2021-Ahya-21550-16_L4,Group4,Ahya,21550,16,2021,ECT01,Reef21550,Experimental,Reef21550_16_2021
RRAP-ECT01-2021-Ahya-21550-18_L2,Group4,Ahya,21550,18,2021,ECT01,Reef21550,Experimental,Reef21550_18_2021
RRAP-ECT01-2021-Ahya-21550-19_L4,Group4,Ahya,21550,19,2021,ECT01,Reef21550,Experimental,Reef21550_19_2021
RRAP-ECT01-2021-Ahya-21550-20_L4,Group4,Ahya,21550,20,2021,ECT01,Reef21550,Experimental,Reef21550_20_2021
RRAP-ECT01-2021-Ahya-21550-25_L4,Group4,Ahya,21550,25,2021,ECT01,Reef21550,Experimental,Reef21550_25_2021
RRAP-ECT01-2021-Ahya-21550-27_L2,Group4,Ahya,21550,27,2021,ECT01,Reef21550,Experimental,Reef21550_27_2021
RRAP-ECT01-2021-Ahya-21550-28-LEG5346-84_L2,Group4,Ahya,21550,28,2021,ECT01,Reef21550,Experimental,Reef21550_28_2021
RRAP-ECT01-2021-Ahya-21550-2_L4,Group4,Ahya,21550,2,2021,ECT01,Reef21550,Experimental,Reef21550_2_2021
RRAP-ECT01-2021-Ahya-21550-30-LEG5346-43_L2,Group4,Ahya,21550,30,2021,ECT01,Reef21550,Experimental,Reef21550_30_2021
RRAP-ECT01-2021-Ahya-21550-31_L4,Group4,Ahya,21550,31,2021,ECT01,Reef21550,Experimental,Reef21550_31_2021
RRAP-ECT01-2021-Ahya-21550-32_L2,Group4,Ahya,21550,32,2021,ECT01,Reef21550,Experimental,Reef21550_32_2021
RRAP-ECT01-2021-Ahya-21550-33_L3,Group4,Ahya,21550,33,2021,ECT01,Reef21550,Experimental,Reef21550_33_2021
RRAP-ECT01-2021-Ahya-21550-34a-LEG5346-68_L2,Group4,Ahya,21550,34,2021,ECT01,Reef21550,Experimental,Reef21550_34_2021
RRAP-ECT01-2021-Ahya-21550-35_L4,Group4,Ahya,21550,35,2021,ECT01,Reef21550,Experimental,Reef21550_35_2021
RRAP-ECT01-2021-Ahya-21550-36_L2,Group4,Ahya,21550,36,2021,ECT01,Reef21550,Experimental,Reef21550_36_2021
RRAP-ECT01-2021-Ahya-21550-37_L2,Group4,Ahya,21550,37,2021,ECT01,Reef21550,Experimental,Reef21550_37_2021
RRAP-ECT01-2021-Ahya-21550-48a_L3,Group4,Ahya,21550,48,2021,ECT01,Reef21550,Experimental,Reef21550_48_2021
RRAP-ECT01-2021-Ahya-21550-49,Group4,Ahya,21550,49,2021,ECT01,Reef21550,Experimental,Reef21550_49_2021
RRAP-ECT01-2021-Ahya-21550-4a-LEG5346-64_L2,Group4,Ahya,21550,4,2021,ECT01,Reef21550,Experimental,Reef21550_4_2021
RRAP-ECT01-2021-Ahya-21550-50,Group4,Ahya,21550,50,2021,ECT01,Reef21550,Experimental,Reef21550_50_2021
RRAP-ECT01-2021-Ahya-21550-5_L2,Group4,Ahya,21550,5,2021,ECT01,Reef21550,Experimental,Reef21550_5_2021
RRAP-ECT01-2021-Ahya-21550-6_L2,Group4,Ahya,21550,6,2021,ECT01,Reef21550,Experimental,Reef21550_6_2021
RRAP-ECT01-2021-Ahya-21550-7_L2,Group4,Ahya,21550,7,2021,ECT01,Reef21550,Experimental,Reef21550_7_2021
RRAP-ECT01-2021-Ahya-21550-8a_L3,Group4,Ahya,21550,8,2021,ECT01,Reef21550,Experimental,Reef21550_8_2021
RRAP-ECT01-2021-Ahya-21550-9_L4,Group4,Ahya,21550,9,2021,ECT01,Reef21550,Experimental,Reef21550_9_2021
RRAP-ECT01-2021-Ahya-CBLM-110_L3,Group4,Ahya,CBLM,110,2021,ECT01,Lady Musgrave,Experimental,Lady Musgrave_110_2021
RRAP-ECT01-2021-Ahya-CBLM-112,Group4,Ahya,CBLM,112,2021,ECT01,Lady Musgrave,Experimental,Lady Musgrave_112_2021
RRAP-ECT01-2021-Ahya-CBLM-114_L4,Group4,Ahya,CBLM,114,2021,ECT01,Lady Musgrave,Experimental,Lady Musgrave_114_2021
RRAP-ECT01-2021-Ahya-CBLM-115_L2,Group4,Ahya,CBLM,115,2021,ECT01,Lady Musgrave,Experimental,Lady Musgrave_115_2021
RRAP-ECT01-2021-Ahya-CBLM-78_L4,Group4,Ahya,CBLM,78,2021,ECT01,Lady Musgrave,Experimental,Lady Musgrave_78_2021
RRAP-ECT01-2021-Ahya-CBLM-95_L2,Group4,Ahya,CBLM,95,2021,ECT01,Lady Musgrave,Experimental,Lady Musgrave_95_2021
RRAP-ECT01-2021-Ahya-ECAY-38a_L3,Group4,Ahya,ECAY,38,2021,ECT01,East Cay,Experimental,East Cay_38_2021
RRAP-ECT01-2021-Ahya-ECAY-39_L3,Group4,Ahya,ECAY,39,2021,ECT01,East Cay,Experimental,East Cay_39_2021
RRAP-ECT01-2021-Ahya-ECAY-40,Group4,Ahya,ECAY,40,2021,ECT01,East Cay,Experimental,East Cay_40_2021
RRAP-ECT01-2021-Ahya-ECAY-41_L4,Group4,Ahya,ECAY,41,2021,ECT01,East Cay,Experimental,East Cay_41_2021
RRAP-ECT01-2021-Ahya-ECAY-43,Group4,Ahya,ECAY,43,2021,ECT01,East Cay,Experimental,East Cay_43_2021
RRAP-ECT01-2021-Ahya-ECAY-44_L2,Group4,Ahya,ECAY,44,2021,ECT01,East Cay,Experimental,East Cay_44_2021
RRAP-ECT01-2021-Ahya-ECAY-45_L4,Group4,Ahya,ECAY,45,2021,ECT01,East Cay,Experimental,East Cay_45_2021
RRAP-ECT01-2021-Ahya-ECAY-51,Group4,Ahya,ECAY,51,2021,ECT01,East Cay,Experimental,East Cay_51_2021
RRAP-ECT01-2021-Ahya-ECAY-52_L2,Group4,Ahya,ECAY,52,2021,ECT01,East Cay,Experimental,East Cay_52_2021
RRAP-ECT01-2021-Ahya-ECAY-53_L4,Group4,Ahya,ECAY,53,2021,ECT01,East Cay,Experimental,East Cay_53_2021
RRAP-ECT01-2021-Ahya-ECAY-54_L2,Group4,Ahya,ECAY,54,2021,ECT01,East Cay,Experimental,East Cay_54_2021
RRAP-ECT01-2021-Ahya-ECAY-56_L3,Group4,Ahya,ECAY,56,2021,ECT01,East Cay,Experimental,East Cay_56_2021
RRAP-ECT01-2021-Ahya-ECAY-57_L4,Group4,Ahya,ECAY,57,2021,ECT01,East Cay,Experimental,East Cay_57_2021
RRAP-ECT01-2021-Ahya-ECAY-67_L4,Group4,Ahya,ECAY,67,2021,ECT01,East Cay,Experimental,East Cay_67_2021
RRAP-ECT01-2021-Ahya-ECAY-68,Group4,Ahya,ECAY,68,2021,ECT01,East Cay,Experimental,East Cay_68_2021
RRAP-ECT01-2021-Ahya-ECAY-70_L3,Group4,Ahya,ECAY,70,2021,ECT01,East Cay,Experimental,East Cay_70_2021
RRAP-ECT01-2021-Ahya-ECAY-72_L2,Group4,Ahya,ECAY,72,2021,ECT01,East Cay,Experimental,East Cay_72_2021
RRAP-ECT01-2021-Ahya-ECAY-74_L2,Group4,Ahya,ECAY,74,2021,ECT01,East Cay,Experimental,East Cay_74_2021
RRAP-ECT01-2021-Ahya-ECAY-81_L2,Group4,Ahya,ECAY,81,2021,ECT01,East Cay,Experimental,East Cay_81_2021
RRAP-ECT01-2021-Ahya-ECAY-82_L2,Group4,Ahya,ECAY,82,2021,ECT01,East Cay,Experimental,East Cay_82_2021
RRAP-ECT01-2021-Ahya-ECAY-85_L2,Group4,Ahya,ECAY,85,2021,ECT01,East Cay,Experimental,East Cay_85_2021
RRAP-ECT01-2021-Ahya-FITZ-362_L2,Group4,Ahya,FITZ,362,2021,ECT01,Fitzroy Island,Experimental,Fitzroy Island_362_2021
RRAP-ECT01-2021-Ahya-FITZ-363_L4,Group4,Ahya,FITZ,363,2021,ECT01,Fitzroy Island,Experimental,Fitzroy Island_363_2021
RRAP-ECT01-2021-Ahya-FITZ-364_L2,Group4,Ahya,FITZ,364,2021,ECT01,Fitzroy Island,Experimental,Fitzroy Island_364_2021
RRAP-ECT01-2021-Ahya-FITZ-365_L3,Group4,Ahya,FITZ,365,2021,ECT01,Fitzroy Island,Experimental,Fitzroy Island_365_2021
RRAP-ECT01-2021-Ahya-FITZ-367_L2,Group4,Ahya,FITZ,367,2021,ECT01,Fitzroy Island,Experimental,Fitzroy Island_367_2021
RRAP-ECT01-2021-Ahya-NDIR-48_L3,Group4,Ahya,NDIR,48,2021,ECT01,North Direction,Experimental,North Direction_48_2021
RRAP-ECT01-2021-Ahya-NDIR-50,Group4,Ahya,NDIR,50,2021,ECT01,North Direction,Experimental,North Direction_50_2021
