"Site.name","Genotype","C50b/C50p-C3-C50f-C3bm-C3dt","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k/C50a/C50c-C3-C3ba-C50q-C50f","C3k/C50a/C50b/C50c-C3ba-C50q-C3-C50f","C3k-C3wy-C50a-C3wu-C3ba-C50q","C3k/C3bo-C3ba-C50a-C50q-C50b","C3k/C50b-C3ba-C50a-C50q-C3-C3bh","C3k-C50a-C3wy-C50b-C3ba-C3wu","C3k/C50b-C50a-C3ba-C50q-C3-C50f","C3k/C50a/C1-C3-C3ba-C3dq-C50q-C3a","A1-A1gr-A1gd","A1-A1gr-A1gd-A1mm-A1bf","dominant_type","all_typeprofs","SampleYear","Site.name_geno_year","C3k","C50b","A1","C50c","C50a","A1gr","C3bo","C50p","C3ba","C3","C3dq","C3wy","A1gd","C50q","C3a","C3wu","C3bp","C50f","C3bm","C1","C3bh","C3cz","C50bj","C3wv","C3b","C50u","C50aj","C3bd","C3ah","298_C","C3ad","C21","C50v","40872_C","48186_C","C3ss","C3jv","40786_C","C3su","37134_C","C50aq","37138_C","21216_C","C50ax","C3st","21223_C","21173_C","1079331_C","TotalAbundance","Sitecode","OTU_PC1","OTU_PC2","OTU_PC3","OTU_PC4","OTU_PC5","OTU_PC6"
"Lady Musgrave",99,13752,0,0,0,0,0,0,0,0,0,0,0,"C50b/C50p-C3-C50f-C3bm-C3dt","C50b/C50p-C3-C50f-C3bm-C3dt","2021","Lady Musgrave_99_2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reef21550",11,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Reef21550_11_2021",8200,380,0,100,1341,0,0,0,1877,354,339,0,0,1045,208,0,0,315,0,0,300,173,0,0,0,0,257,265,0,83,0,0,0,0,0,0,0,190,0,140,0,0,85,0,76,0,0,0,15728,"21-550",-2.08139752122132,-0.272249752092854,-1.41399565676949,1.03559143397614,0.00751764080834855,0.784217891754965
"Reef21550",13,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Reef21550_13_2021",7871,380,0,266,1273,0,0,0,2123,385,434,0,0,1190,298,0,0,310,0,0,332,95,0,0,0,0,334,237,0,105,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,15728,"21-550",-1.32848247464956,-1.04173421856194,-2.57151127669313,0.0957991725970408,-0.601369202680726,0.045338920883723
"Reef21550",16,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Reef21550_16_2021",8261,421,0,0,1913,0,0,0,1365,758,288,0,0,871,245,0,0,414,0,0,0,195,0,0,0,0,110,337,0,0,0,0,0,0,0,0,70,157,0,118,0,0,0,0,96,111,0,0,15730,"21-550",-1.54758924081961,0.320539359811907,0.238347931826866,0.964321119255206,1.05866006954262,1.7260426052315
"Reef21550",21,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Reef21550_21_2021",8706,244,0,148,1946,0,0,0,1037,716,299,0,0,796,164,0,0,324,0,0,96,205,115,0,0,0,119,241,0,0,0,0,0,0,0,0,0,0,0,126,0,0,136,0,94,109,0,106,15727,"21-550",-1.32771538508469,0.622438549528749,1.1970346440622,1.6804917944014,1.43863190739756,3.30128407131564
"Reef21550",20,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Reef21550_20_2021",8756,197,0,130,1351,0,0,0,1979,298,302,0,0,1223,155,0,0,297,0,0,0,132,0,0,0,0,230,264,0,0,0,0,0,0,0,0,0,179,0,95,0,0,0,0,71,68,0,0,15727,"21-550",-2.02356464606384,-0.292663219561753,-0.415068472202756,1.20298865527158,0.186528068139868,0.487018669552662
"Hicks",23,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Hicks_23_2021",11087,161,0,0,856,0,0,0,774,455,233,0,0,528,117,0,0,208,0,0,203,81,0,0,0,0,98,193,234,0,0,0,0,0,0,0,79,203,0,219,0,0,0,0,0,0,0,0,15729,"HICK",-1.81667755530163,1.11497761724952,0.454622369124771,-0.323551942091708,-0.228455971076511,-1.2124057608205
"Hicks",21,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Hicks_21_2021",9152,93,0,344,1022,0,0,0,1317,347,353,0,0,895,220,0,0,291,0,0,109,106,84,0,0,0,171,261,140,0,0,0,0,0,0,90,186,182,75,123,0,81,0,0,84,0,0,0,15726,"HICK",-3.07366319293461,0.146094895901339,-0.415197572455957,0.000654992897371608,0.0566269831167267,-1.51807835774568
"Hicks",22,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Hicks_22_2021",8485,257,0,98,1063,0,0,110,1367,388,394,0,0,1025,213,0,0,235,0,0,334,132,82,0,0,0,195,251,118,0,0,0,0,0,0,143,145,173,90,115,0,77,99,0,139,0,0,0,15728,"HICK",-3.53723029662761,0.501579367818628,-0.586030116670004,0.74488955446748,0.307863474890898,-0.726009153028844
"Reef21550",34,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Reef21550_34_2021",10096,138,0,145,1367,0,0,0,829,381,260,0,0,771,140,0,0,284,0,0,132,190,114,0,0,0,100,234,0,0,0,0,0,0,0,0,0,215,0,187,0,0,0,0,78,69,0,0,15730,"21-550",-1.5901475730064,0.651365799455504,0.893993005684873,0.849113744556352,0.482242189317026,0.932293219414673
