"Site_year","estimate_ED50","p.value_ED50","lower_ci","upper_ci"
"Chicken_2021",35.7443240922764,1.11149068512604e-27,35.6713677603843,35.8727910941603
"Davies_2021",35.561245982829,2.43671008595325e-14,35.9386705093888,36.6088007366766
"EastCay-22Jan_2021",36.5641622587564,2.5755834153523e-14,36.2521653388619,36.9751424935997
"EastCay-23Jan_2021",35.9684882177451,1.16953779346346e-22,35.8608253467419,36.1384692180232
"Fitzroy_2021",35.3076734823896,5.67116842189627e-20,34.9644179580509,35.5724138420234
"Heron_2022",36.1381120417202,2.49892809783078e-20,35.8633051586779,36.300468049976
"Hicks-20March_2021",36.4293205125436,1.10101194677413e-18,36.3063072841355,36.5668362515841
"Hicks-21March_2021",36.3175632004252,2.8124088469153e-21,36.1966548471067,36.4313175276971
"Kelso_2021",36.1084296614065,2.71217755145392e-24,36.0141656618162,36.2410689117616
"LadyMusgrave_2021",35.6444137020821,1.50444664245738e-14,35.4571737415622,35.8246777034214
"LadyMusgrave_2022",36.1325444052472,1.45777661992192e-22,35.9485433698543,36.32916376754
"Mackay_2021",36.94622805641,9.36182731880804e-19,36.6747800894695,36.9173031878569
"Mackay_2022",37.6799532788885,3.06941648841501e-09,37.6087659560918,37.7230459744713
"Martin_2021",37.3263528708858,8.12726604807025e-25,37.1972184383725,37.3784416997919
"Moore_2021",36.5937056008765,2.72026205453144e-18,36.9295407839368,37.2169709209413
"NoName_2021",36.2064491966971,9.9605341200797e-20,36.1052443391262,36.4866915773401
"NorthDirection-23March_2021",36.3710922696974,6.71153656781777e-19,36.2168706606706,36.5141701372526
"NorthDirection-24March_2021",36.4281144631094,1.19329367074186e-21,36.2869601805642,36.593372094145
"Pelorus_2021",36.4478482054552,1.30638392605587e-18,36.3638625528112,36.5194257101415
"Reef21550-20Jan_2021",40,0.000259615751827018,38.4202922412259,39.6955794962145
"StCrispin-15April_2021",36.1417565082954,4.80161683971148e-19,36.0151381731727,36.3278998543062
"StCrispin-30Mar_2021",37.5481470460902,3.80992022563809e-28,37.4867824280714,37.6496807271835
"Sykes_2021",35.580183562578,5.79094548857939e-21,35.7874531497945,36.3613414248601
