"Site","Site_geno_year","Site_year","Site.name","Genotype","SampleYear","RelativeFvFm9C","eventID"
"EastCay-22Jan","EastCay-22Jan_38_2021","EastCay-22Jan_2021","East Cay",38,2021,0.733212199766779,"Ahya_38a"
"EastCay-22Jan","EastCay-22Jan_39_2021","EastCay-22Jan_2021","East Cay",39,2021,0.743476567403907,"Ahya_39a"
"EastCay-22Jan","EastCay-22Jan_40_2021","EastCay-22Jan_2021","East Cay",40,2021,0.702769105158217,"Ahya_40a"
"EastCay-22Jan","EastCay-22Jan_44_2021","EastCay-22Jan_2021","East Cay",44,2021,0.763071345945971,"Ahya_44a"
"EastCay-22Jan","EastCay-22Jan_42_2021","EastCay-22Jan_2021","East Cay",42,2021,0.737706360073822,"Ahya_42a"
"EastCay-22Jan","EastCay-22Jan_43_2021","EastCay-22Jan_2021","East Cay",43,2021,0.733366449824257,"Ahya_43a"
"EastCay-22Jan","EastCay-22Jan_41_2021","EastCay-22Jan_2021","East Cay",41,2021,0.697454450602993,"Ahya_41a"
"EastCay-22Jan","EastCay-22Jan_45_2021","EastCay-22Jan_2021","East Cay",45,2021,0.731933124410186,"Ahya_45a"
"EastCay-22Jan","EastCay-22Jan_51_2021","EastCay-22Jan_2021","East Cay",51,2021,0.674169906124505,"Ahya_51a"
"EastCay-23Jan","EastCay-23Jan_72_2021","EastCay-23Jan_2021","East Cay",72,2021,0.468631279029983,"Ahya_72a"
"EastCay-23Jan","EastCay-23Jan_73_2021","EastCay-23Jan_2021","East Cay",73,2021,0.509565807545494,"Ahya_73a"
"EastCay-23Jan","EastCay-23Jan_74_2021","EastCay-23Jan_2021","East Cay",74,2021,0.435667359536134,"Ahya_74a"
"EastCay-23Jan","EastCay-23Jan_75_2021","EastCay-23Jan_2021","East Cay",75,2021,0.313279988424537,"Ahya_75a"
"EastCay-23Jan","EastCay-23Jan_67_2021","EastCay-23Jan_2021","East Cay",67,2021,0.632127639437831,"Ahya_67a"
"EastCay-23Jan","EastCay-23Jan_68_2021","EastCay-23Jan_2021","East Cay",68,2021,0.766556475841653,"Ahya_68a"
"EastCay-23Jan","EastCay-23Jan_69_2021","EastCay-23Jan_2021","East Cay",69,2021,0.614249477082448,"Ahya_69a"
"EastCay-23Jan","EastCay-23Jan_70_2021","EastCay-23Jan_2021","East Cay",70,2021,0.569392641957312,"Ahya_70a"
"EastCay-23Jan","EastCay-23Jan_71_2021","EastCay-23Jan_2021","East Cay",71,2021,0.551443648912442,"Ahya_71a"
"EastCay-23Jan","EastCay-23Jan_52_2021","EastCay-23Jan_2021","East Cay",52,2021,0.507170435175536,"Ahya_52a"
"EastCay-23Jan","EastCay-23Jan_53_2021","EastCay-23Jan_2021","East Cay",53,2021,0.549346583065552,"Ahya_53a"
"EastCay-23Jan","EastCay-23Jan_54_2021","EastCay-23Jan_2021","East Cay",54,2021,0.588217457392138,"Ahya_54a"
"EastCay-23Jan","EastCay-23Jan_55_2021","EastCay-23Jan_2021","East Cay",55,2021,0.570869582681384,"Ahya_55a"
"EastCay-23Jan","EastCay-23Jan_56_2021","EastCay-23Jan_2021","East Cay",56,2021,0.649011475757576,"Ahya_56a"
"EastCay-23Jan","EastCay-23Jan_57_2021","EastCay-23Jan_2021","East Cay",57,2021,0.637351220721256,"Ahya_57a"
"EastCay-23Jan","EastCay-23Jan_58_2021","EastCay-23Jan_2021","East Cay",58,2021,0.531558868147845,"Ahya_58a"
"EastCay-23Jan","EastCay-23Jan_59_2021","EastCay-23Jan_2021","East Cay",59,2021,0.606516214207608,"Ahya_59a"
"EastCay-23Jan","EastCay-23Jan_60_2021","EastCay-23Jan_2021","East Cay",60,2021,0.62721238912943,"Ahya_60a"
"EastCay-23Jan","EastCay-23Jan_61_2021","EastCay-23Jan_2021","East Cay",61,2021,0.620747912956059,"Ahya_61a"
"EastCay-23Jan","EastCay-23Jan_81_2021","EastCay-23Jan_2021","East Cay",81,2021,0.649222741574481,"Ahya_81a"
"EastCay-23Jan","EastCay-23Jan_82_2021","EastCay-23Jan_2021","East Cay",82,2021,0.675404404253316,"Ahya_82a"
"EastCay-23Jan","EastCay-23Jan_83_2021","EastCay-23Jan_2021","East Cay",83,2021,0.659411927964779,"Ahya_83a"
"EastCay-23Jan","EastCay-23Jan_84_2021","EastCay-23Jan_2021","East Cay",84,2021,0.701143649864005,"Ahya_84a"
"EastCay-23Jan","EastCay-23Jan_85_2021","EastCay-23Jan_2021","East Cay",85,2021,0.597259073577878,"Ahya_85a"
"LadyMusgrave","LadyMusgrave_102_2021","LadyMusgrave_2021","Lady Musgrave",102,2021,0.637591573489215,"Ahya_102a"
"LadyMusgrave","LadyMusgrave_103_2021","LadyMusgrave_2021","Lady Musgrave",103,2021,0.727547536461442,"Ahya_103a"
"LadyMusgrave","LadyMusgrave_104_2021","LadyMusgrave_2021","Lady Musgrave",104,2021,0.649459902053069,"Ahya_104a"
"LadyMusgrave","LadyMusgrave_105_2021","LadyMusgrave_2021","Lady Musgrave",105,2021,0.566427861691144,"Ahya_105a"
"LadyMusgrave","LadyMusgrave_80_2021","LadyMusgrave_2021","Lady Musgrave",80,2021,0.621786044306471,"Ahya_80a"
"LadyMusgrave","LadyMusgrave_95_2021","LadyMusgrave_2021","Lady Musgrave",95,2021,0.551991588696386,"Ahya_95a"
"LadyMusgrave","LadyMusgrave_96_2021","LadyMusgrave_2021","Lady Musgrave",96,2021,0.644453929154162,"Ahya_96a"
"LadyMusgrave","LadyMusgrave_97_2021","LadyMusgrave_2021","Lady Musgrave",97,2021,0.724861137362538,"Ahya_97a"
"LadyMusgrave","LadyMusgrave_106_2021","LadyMusgrave_2021","Lady Musgrave",106,2021,0.680264137802314,"Ahya_106a"
"LadyMusgrave","LadyMusgrave_107_2021","LadyMusgrave_2021","Lady Musgrave",107,2021,0.507902462404801,"Ahya_107a"
"LadyMusgrave","LadyMusgrave_108_2021","LadyMusgrave_2021","Lady Musgrave",108,2021,0.62213157270739,"Ahya_108a"
"LadyMusgrave","LadyMusgrave_109_2021","LadyMusgrave_2021","Lady Musgrave",109,2021,0.533774289607584,"Ahya_109a"
"LadyMusgrave","LadyMusgrave_98_2021","LadyMusgrave_2021","Lady Musgrave",98,2021,0.678870398656345,"Ahya_98a"
"LadyMusgrave","LadyMusgrave_99_2021","LadyMusgrave_2021","Lady Musgrave",99,2021,0.643506790248865,"Ahya_99a"
"LadyMusgrave","LadyMusgrave_100_2021","LadyMusgrave_2021","Lady Musgrave",100,2021,0.623615157079006,"Ahya_100a"
