"Site.name","Variable","Metric","Value","Depth","Source","Spat_res","Time_res","Period","Multi_level","Depth.adjusted"
"21-550","Temperature","TSA_DHW_mean",0.214601273087759,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Chicken","Temperature","TSA_DHW_mean",0.295113617864969,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Davies","Temperature","TSA_DHW_mean",0.260523917353647,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"East Cay","Temperature","TSA_DHW_mean",0.176755003652301,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Island","Temperature","TSA_DHW_mean",0.300278743608473,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Reef","Temperature","TSA_DHW_mean",0.233542439737035,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Heron","Temperature","TSA_DHW_mean",0.242906897631222,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks","Temperature","TSA_DHW_mean",0.461596785975165,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks_2","Temperature","TSA_DHW_mean",0.466568840655327,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Kelso","Temperature","TSA_DHW_mean",0.351057842011896,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Lady Musgrave","Temperature","TSA_DHW_mean",0.231881999373891,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Mackay","Temperature","TSA_DHW_mean",0.255970343316289,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Martin","Temperature","TSA_DHW_mean",0.403427966190128,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Moore","Temperature","TSA_DHW_mean",0.354343608473338,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"No Name","Temperature","TSA_DHW_mean",0.442743483251591,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"North Direction","Temperature","TSA_DHW_mean",0.409183199415631,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Pelorus East","Temperature","TSA_DHW_mean",0.341007628091412,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"St Crispin","Temperature","TSA_DHW_mean",0.327223228634039,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Sykes","Temperature","TSA_DHW_mean",0.217723364290932,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"21-550","Temperature","TSA_DHW_stdev",0.705650487906586,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Chicken","Temperature","TSA_DHW_stdev",0.909718455622212,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Davies","Temperature","TSA_DHW_stdev",0.808621943643536,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"East Cay","Temperature","TSA_DHW_stdev",0.567145385413118,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Island","Temperature","TSA_DHW_stdev",0.934485181747764,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Reef","Temperature","TSA_DHW_stdev",0.822090729297616,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Heron","Temperature","TSA_DHW_stdev",0.896945222047295,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks","Temperature","TSA_DHW_stdev",1.2654036060865,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks_2","Temperature","TSA_DHW_stdev",1.27601869251913,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Kelso","Temperature","TSA_DHW_stdev",0.964463437997917,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Lady Musgrave","Temperature","TSA_DHW_stdev",0.817736985077305,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Mackay","Temperature","TSA_DHW_stdev",0.801666279180733,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Martin","Temperature","TSA_DHW_stdev",1.07411581171669,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Moore","Temperature","TSA_DHW_stdev",1.04914094796938,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
