"locationID","yearCollected","monthCollected","dayCollected","locationRemarks","eventID","individualID","scientificName","depthOfColonyinMeters","timeOfDay","Health.Chart","tagged","acuteHeatStress","naturalBleaching","resampled","subproject","fieldNotes","collectorList","eventRemarks","decimalLatitude","decimalLongitude","photoID","georeferenceProtocol","coordinateUncertaintyInMeters","eventEnteredBy","associatedMedia","permitInformation","principalInvestigator","locality","country","habitat","fundingSource","culturalAffiliations","eventID.AIMS","Collection.date","Time","Site","Tide_Date","Site_year","Tide_chart_used","Time1","Time2","Time3","Time4","Level1","Level2","Level3","Level4","Tide_adjust","Depth_corrected","Site.name","Genotype","Site_geno_year"
"21-550",2021,1,19,"NA","Ahya_6a","Ahya_6a","A. hyacinthus","5","11:11:00","C3","N","Y","N","N","ECT","not tagged","EHowells|VMocellin |RForster|LBay","individual 6","-21.962819499999998","152.307478","P1190175","GPS",10,"E Howells","NA","G19/43148.1","LBay | EHowells","Pacific Ocean","Australia","coral reef","RRAP","to be added","Ahya_6a",2021-01-19,2021-01-19 11:11:00,"Reef21550-20Jan","1/19/21","Reef21550-20Jan_2021","Mervs Reef",2021-01-19 01:59:00,2021-01-19 07:42:00,2021-01-19 14:11:00,2021-01-19 20:47:00,2.75,1.45,3.06,1.32,2.34905266600465,2.7,"Reef21550",6,"Reef21550-20Jan_6_2021"
"21-550",2021,1,19,"NA","Ahya_32a","Ahya_32a","A. hyacinthus","1.3","15:58:00","C3","N","Y","N","N","ECT","not tagged","EHowells|VMocellin |RForster|LBay","individual 32","-21.96297968","152.30726039999999","P1190312","GPS",10,"E Howells","NA","G19/43148.1","LBay | EHowells","Pacific Ocean","Australia","coral reef","RRAP","to be added","Ahya_32a",2021-01-19,2021-01-19 15:58:00,"Reef21550-20Jan","1/19/21","Reef21550-20Jan_2021","Mervs Reef",2021-01-19 01:59:00,2021-01-19 07:42:00,2021-01-19 14:11:00,2021-01-19 20:47:00,2.75,1.45,3.06,1.32,2.764927026626,-1.5,"Reef21550",32,"Reef21550-20Jan_32_2021"
"21-550",2021,1,19,"NA","Ahya_24a","Ahya_24a","A. hyacinthus","6.2","15:22:00","C2/3","N","Y","N","N","ECT","not tagged","EHowells|VMocellin |RForster|LBay","individual 24","-21.962957549999999","152.3072373","P1190249","GPS",10,"E Howells","NA","G19/43148.1","LBay | EHowells","Pacific Ocean","Australia","coral reef","RRAP","to be added","Ahya_24a",2021-01-19,2021-01-19 15:22:00,"Reef21550-20Jan","1/19/21","Reef21550-20Jan_2021","Mervs Reef",2021-01-19 01:59:00,2021-01-19 07:42:00,2021-01-19 14:11:00,2021-01-19 20:47:00,2.75,1.45,3.06,1.32,2.92559899706304,3.3,"Reef21550",24,"Reef21550-20Jan_24_2021"
"21-550",2021,1,19,"NA","Ahya_21a","Ahya_21a","A. hyacinthus","5.4","15:08:00","C3","N","Y","N","N","ECT","not tagged","EHowells|VMocellin |RForster|LBay","individual 21","-21.962925200000001","152.30721800000001","P1190232","GPS",10,"E Howells","NA","G19/43148.1","LBay | EHowells","Pacific Ocean","Australia","coral reef","RRAP","to be added","Ahya_21a",2021-01-19,2021-01-19 15:08:00,"Reef21550-20Jan","1/19/21","Reef21550-20Jan_2021","Mervs Reef",2021-01-19 01:59:00,2021-01-19 07:42:00,2021-01-19 14:11:00,2021-01-19 20:47:00,2.75,1.45,3.06,1.32,2.97255496186222,2.4,"Reef21550",21,"Reef21550-20Jan_21_2021"
"21-550",2021,1,19,"NA","Ahya_20a","Ahya_20a","A. hyacinthus","3.7","15:00:00","C3","N","Y","N","N","ECT","not tagged","EHowells|VMocellin |RForster|LBay","individual 20","-21.962917319999999","152.30722549999999","P1190223","GPS",10,"E Howells","NA","G19/43148.1","LBay | EHowells","Pacific Ocean","Australia","coral reef","RRAP","to be added","Ahya_20a",2021-01-19,2021-01-19 15:00:00,"Reef21550-20Jan","1/19/21","Reef21550-20Jan_2021","Mervs Reef",2021-01-19 01:59:00,2021-01-19 07:42:00,2021-01-19 14:11:00,2021-01-19 20:47:00,2.75,1.45,3.06,1.32,2.99508950381826,0.7,"Reef21550",20,"Reef21550-20Jan_20_2021"
"21-550",2021,1,19,"NA","Ahya_17a","Ahya_17a","A. hyacinthus","7.8","14:42:00","C3","N","Y","N","N","ECT","not tagged","EHowells|VMocellin |RForster|LBay","individual 17","-21.96286744","152.30720239999999","P1190201","GPS",10,"E Howells","NA","G19/43148.1","LBay | EHowells","Pacific Ocean","Australia","coral reef","RRAP","to be added","Ahya_17a",2021-01-19,2021-01-19 14:42:00,"Reef21550-20Jan","1/19/21","Reef21550-20Jan_2021","Mervs Reef",2021-01-19 01:59:00,2021-01-19 07:42:00,2021-01-19 14:11:00,2021-01-19 20:47:00,2.75,1.45,3.06,1.32,3.03382227121399,4.8,"Reef21550",17,"Reef21550-20Jan_17_2021"
"21-550",2021,1,19,"NA","Ahya_25a","Ahya_25a","A. hyacinthus","6","15:24:00","C4","N","Y","N","N","ECT","not tagged","EHowells|VMocellin |RForster|LBay","individual 25","-21.962954029999999","152.3072329","P1190261","GPS",10,"E Howells","NA","G19/43148.1","LBay | EHowells","Pacific Ocean","Australia","coral reef","RRAP","to be added","Ahya_25a",2021-01-19,2021-01-19 15:24:00,"Reef21550-20Jan","1/19/21","Reef21550-20Jan_2021","Mervs Reef",2021-01-19 01:59:00,2021-01-19 07:42:00,2021-01-19 14:11:00,2021-01-19 20:47:00,2.75,1.45,3.06,1.32,2.91813608695397,3.1,"Reef21550",25,"Reef21550-20Jan_25_2021"
"21-550",2021,1,19,"NA","Ahya_4a","Ahya_4a","A. hyacinthus","5.9","11:00:00","C4","N","Y","N","N","ECT","not tagged","EHowells|VMocellin |RForster|LBay","individual 4","-21.962817319999999","152.30748270000001","P1190165","GPS",10,"E Howells","NA","G19/43148.1","LBay | EHowells","Pacific Ocean","Australia","coral reef","RRAP","to be added","Ahya_4a",2021-01-19,2021-01-19 11:00:00,"Reef21550-20Jan","1/19/21","Reef21550-20Jan_2021","Mervs Reef",2021-01-19 01:59:00,2021-01-19 07:42:00,2021-01-19 14:11:00,2021-01-19 20:47:00,2.75,1.45,3.06,1.32,2.27775130760853,3.6,"Reef21550",4,"Reef21550-20Jan_4_2021"
"21-550",2021,1,19,"NA","Ahya_28a","Ahya_28a","A. hyacinthus","4.5999999999999996","15:43:00","C3","N","Y","N","N","ECT","not tagged","EHowells|VMocellin |RForster|LBay","individual 28","-21.962973890000001","152.30727189999999","P1190282","GPS",10,"E Howells","NA","G19/43148.1","LBay | EHowells","Pacific Ocean","Australia","coral reef","RRAP","to be added","Ahya_28a",2021-01-19,2021-01-19 15:43:00,"Reef21550-20Jan","1/19/21","Reef21550-20Jan_2021","Mervs Reef",2021-01-19 01:59:00,2021-01-19 07:42:00,2021-01-19 14:11:00,2021-01-19 20:47:00,2.75,1.45,3.06,1.32,2.83838007121791,1.8,"Reef21550",28,"Reef21550-20Jan_28_2021"
"21-550",2021,1,19,"NA","Ahya_1a","Ahya_1a","A. hyacinthus","5.6","10:38:00","C4","N","Y","N","N","ECT","not tagged","EHowells|VMocellin |RForster|LBay","individual 1","-21.962800470000001","152.30748410000001","P1190149","GPS",10,"E Howells","NA","G19/43148.1","LBay | EHowells","Pacific Ocean","Australia","coral reef","RRAP","to be added","Ahya_1a",2021-01-19,2021-01-19 10:38:00,"Reef21550-20Jan","1/19/21","Reef21550-20Jan_2021","Mervs Reef",2021-01-19 01:59:00,2021-01-19 07:42:00,2021-01-19 14:11:00,2021-01-19 20:47:00,2.75,1.45,3.06,1.32,2.13517404046495,3.5,"Reef21550",1,"Reef21550-20Jan_1_2021"
