sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	reef
150710	RRAP_ECT01_2021_Ahya_PAPE_245	RRAP_ECT01_2021_Ahya_PAPE_245_R1.fastq.gz	9919959da5483255439e808f823ac123bfe0a3b9b16c612aa33ac054045e11fe	RRAP_ECT01_2021_Ahya_PAPE_245_R2.fastq.gz	6de05cb0416adf5cc99f320e9a4b759c3fc738e84a518af4895002ce03b41227	713	20220607_laffy	24213	17718	709	15171	577	2547	132	0	0	14356	14	0	0	166	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-18.55781601	146.5041929	20210412	2.8	Pelorus East
150475	RRAP_ECT01_2021_Ahya_MART_150	RRAP_ECT01_2021_Ahya_MART_150_R1.fastq.gz	a47ae4b5099f19e864fa192ceb31cddef27731f3a929d41b9ed7c4d33dd02f9b	RRAP_ECT01_2021_Ahya_MART_150_R2.fastq.gz	a53ec60eada8ad581f8fba5a3b962b1b30b516dc5290a38f4869b0605db2c670	713	20220607_laffy	47419	36469	1395	32150	1191	4314	203	5	1	29719	14	0	0	162	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-14.77975328	145.3594316	20210327	2.4	Martin Reef
150709	RRAP_ECT01_2021_Ahya_PAPE_244	RRAP_ECT01_2021_Ahya_PAPE_244_R1.fastq.gz	521e9aaa47808789dce8afc6c0e9978278b41eae47d8662ed32c213aa994ed14	RRAP_ECT01_2021_Ahya_PAPE_244_R2.fastq.gz	4f761820798571e41e83e037a2286eb07e32a4741a5f02b86241d0e62cdd5b8a	713	20220607_laffy	24002	16957	771	15470	690	1487	81	0	0	14294	19	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-18.55782397	146.504138	20210412	1.7	Pelorus East
150685	RRAP_ECT01_2021_Ahya_PAPE_221	RRAP_ECT01_2021_Ahya_PAPE_221_R1.fastq.gz	7d54af4d08074cf20a8b9b162597bcba0bd92d1ab1a326277f41837ca9df5b7e	RRAP_ECT01_2021_Ahya_PAPE_221_R2.fastq.gz	d68cf4f8693de66baaae0079d688a318ce68eed029da6a158b4b83b954c10c18	713	20220607_laffy	40548	30936	1279	28607	1172	2329	107	0	0	26585	15	0	0	254	0	0	0	0	0	0	NoData	NoData	NoData	NoData	NoData	NoData	NoData	-18.55852051	146.4840013	20210412	3.8	Pelorus East
150461	RRAP_ECT01_2021_Ahya_MART_136	RRAP_ECT01_2021_Ahya_MART_136_R1.fastq.gz	c0adfb1ec4431e2c09b5387b41ac95145f1e2c3e71513826d4da4ad7e684c9d9	RRAP_ECT01_2021_Ahya_MART_136_R2.fastq.gz	36c7ca513ebdf73eeb5ba607508fb351c84a404fea4ad4896edc2bc65c118a88	713	20220607_laffy	10664	7368	334	6333	282	1035	52	0	0	5885	17	0	0	61	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-14.7799231	145.3588682	20210327	2.6	Martin Reef
150713	RRAP_ECT01_2021_Ahya_PAPE_248	RRAP_ECT01_2021_Ahya_PAPE_248_R1.fastq.gz	8b796c44c61603e7a8ef380ae77e7b324748aa1e24ac6b4687d981415a512657	RRAP_ECT01_2021_Ahya_PAPE_248_R2.fastq.gz	2f7a4a946d44c947927fa70c5857be59accd0080af9ac3fa40add7d69481c0f9	713	20220607_laffy	21746	15580	714	14733	670	847	44	0	0	13614	16	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-18.55780478	146.5041123	20210412	2.2	Pelorus East
150703	RRAP_ECT01_2021_Ahya_PAPE_238	RRAP_ECT01_2021_Ahya_PAPE_238_R1.fastq.gz	e458fbda3e36c737b187a7d747d535216a8951863990342eed6e6825c371dbf8	RRAP_ECT01_2021_Ahya_PAPE_238_R2.fastq.gz	138b6e8f84320896b2bd28a47443e3622d4d921fdd43dcf9885fc12e6c3f738c	713	20220607_laffy	25852	19604	816	16705	679	2895	136	4	1	15658	16	0	0	164	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-18.55795565	146.5027621	20210412	3.1	Pelorus East
150437	RRAP_ECT01_2021_Ahya_MACK_279	RRAP_ECT01_2021_Ahya_MACK_279_R1.fastq.gz	71e73e0b1a299d152e0b449af294f9f5acfce753bad01ef745e8433944be8bdc	RRAP_ECT01_2021_Ahya_MACK_279_R2.fastq.gz	c69f112f54bde837a1ec207e2f02439672d60020974251442fe574ace8cb2434	713	20220607_laffy	65823	51428	1667	44200	1331	7228	336	0	0	40886	15	0	0	228	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-16.03817233	145.6518975	20210416	1.9	Mackay Reef
150458	RRAP_ECT01_2021_Ahya_MART_133	RRAP_ECT01_2021_Ahya_MART_133_R1.fastq.gz	87bc93a1ef749ce6ace5e16eaa5579a7c16980eab1f76e385020a08a4505a1a7	RRAP_ECT01_2021_Ahya_MART_133_R2.fastq.gz	a8d7d68d4dbeb7e07894e74f778ee9f3b77bd67225bcdd4c3ecc467fecf32f03	713	20220607_laffy	11072	7204	322	6247	270	957	52	0	0	5868	18	0	0	144	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-14.77995889	145.3587718	20210327	3.4	Martin Reef
150696	RRAP_ECT01_2021_Ahya_PAPE_232	RRAP_ECT01_2021_Ahya_PAPE_232_R1.fastq.gz	81e5c06f2c62d0c4e356b7ec266d52cae2afd52df5f614438c55de1e870de39f	RRAP_ECT01_2021_Ahya_PAPE_232_R2.fastq.gz	058936afd7ea557b37d6ae620c27ff17ea730330ab0c3537b83155f1d6e14e15	713	20220607_laffy	14098	9908	436	8752	377	1147	58	9	1	8078	17	0	0	42	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-18.55819152	146.5029568	20210412	4.1	Pelorus East
