otu	Domain	Supergroup	Division	Class	Order	Family	Genus	Symportal type
A1	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	A1
A1gr	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	A1gr
A1gd	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	A1gd
A1ml	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	A1ml
A1mm	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	A1mm
2622569_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	2622569_A
2178964_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	2178964_A
A1g	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	A1g
A1bf	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	A1bf
57993_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	57993_A
2622479_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	2622479_A
20450_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	20450_A
1777556_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	1777556_A
1777838_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	1777838_A
914841_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	914841_A
6452_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	6452_A
2622586_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	2622586_A
1777514_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	1777514_A
60374_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	60374_A
2622587_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	2622587_A
2622588_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	2622588_A
5125_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	5125_A
59779_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	59779_A
1777818_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	1777818_A
758826_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	758826_A
2622589_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	2622589_A
A1lo	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	A1lo
2622590_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	2622590_A
2622594_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	2622594_A
2622593_A	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Symbiodinaceae	2622593_A
