locationID,yearCollected,monthCollected,dayCollected,Tide_chart_used,Time1,Time2,Time3,Time4,Level1,Level2,Level3,Level4,Site,Site_year
Mackay,2021,4,16,Sylvan_reef,3:54:00,8:22:00,15:10:00,22:49:00,1.61,1.9,1.07,1.98,Mackay,Mackay_2021
21-550,2021,1,19,Mervs Reef,1:59,7:42,14:11,20:47,2.75,1.45,3.06,1.32,Reef21550-20Jan,Reef21550-20Jan_2021
21-550,2021,1,20,Mervs Reef,2:56,8:40,15:00,21:42,2.68,1.65,2.85,1.4,Reef21550-21Jan,Reef21550-21Jan_2021
East Cay,2021,1,21,East_Cay,6:47:00,12:11:00,17:37:00,,2.09,1.72,2.07,,EastCay-22Jan,EastCay-22Jan_2021
East Cay,2021,1,22,East_Cay,0:33:00,7:23:00,13:18:00,18:29:00,1.16,2.28,1.62,2.04,EastCay-23Jan,EastCay-23Jan_2021
Lady Musgrave,2021,1,25,Lady Musgrave Island,6:15,12:53,18:10,,2.19,0.92,1.55,,LadyMusgrave,LadyMusgrave_2021
Sykes,2021,1,26,One_Tree_Is,0:32:00,7:12:00,13:45:00,19:17:00,0.45,2.83,0.65,1.99,Sykes,Sykes_2021
Hicks,2021,3,19,Hicks Reef,9:08,18:21,,,1.53,0.99,,,Hicks-20March,Hicks-20March_2021
Hicks,2021,3,20,Hicks Reef,5:28,20:27,,,1.63,1.04,,,Hicks-21March,Hicks-21March_2021
North Direction,2021,3,22,North Direction Island,6:21,13:05,18:22,23:56,2.23,1.1,1.62,0.92,NorthDirection-23March,NorthDirection-23March_2021
North Direction,2021,3,23,North Direction Island,6:39,13:09,18:36,,2.39,1,1.75,,NorthDirection-24March,NorthDirection-24March_2021
North Direction,2021,3,21,North Direction Island,6:05,13:19,18:08,23:27,2.05,1.21,1.5,1.09,North Direction,North Direction_2021
North Direction,2021,3,24,North Direction Island,12:24,6:59,13:22,16:54,1.85,1.3,1.39,1.24,North Direction,North Direction_2021
No Name,2021,3,25,No Name Reef,0:25,7:01,13:31,18:44,0.47,2.55,0.74,1.85,NoName,NoName_2021
Martin,2021,3,27,Martin Reef,1:45,8:10,14:31,20:15,0.42,2.75,0.61,2.25,Martin,Martin_2021
St Crispin,2021,3,29,Michaelmas_Cay,3:05:00,9:20:00,15:38:00,21:41:00,0.55,2.86,0.52,2.59,StCrispin-30Mar,StCrispin-30Mar_2021
Kelso,2021,4,11,Rib_Reef,2:31:00,8:39:00,14:58:00,21:01:00,0.38,1.05,0.35,1,Kelso,Kelso_2021
Pelorus,2021,4,12,Lucinda_Offshore,2:53:00,9:01:00,15:15:00,21:31:00,1.22,3.02,1.06,2.99,Pelorus,Pelorus_2021
St Crispin,2021,4,15,Michaelmas_Cay,3:43:00,8:44:00,15:19:00,22:18:00,1.45,1.98,1.03,2.12,StCrispin-15April,StCrispin-15April_2021
Chicken,2021,4,20,Dip_Reef,5:26:00,13:03:00,18:02:00,22:37:00,2.08,1.07,1.39,1.1,Chicken,Chicken_2021
Davies,2021,4,21,Shrimp_Reef,5:36:00,12:17:00,17:50:00,23:27:00,2.36,0.84,1.67,0.72,Davies,Davies_2021
Fitzroy Island,2021,5,6,Fitzroy Island,6:05,12:28,18:22,,2.51,0.74,1.94,,Fitzroy Island,Fitzroy Island_2021
Moore,2021,5,7,Moore Reef,0:27,6:43,13:09,19:12,1,2.63,0.71,2.27,Moore,Moore_2021
Mackay,2022,3,4,Sylvan_reef,4:15:00,10:42:00,17:03:00,22:52:00,0.56,2.9,0.75,2.42,Mackay,Mackay_2022
Lady Musgrave,2022,3,24,Lady Musgrave Island,0:39,7:20,12:47,18:43,2.27,0.99,1.66,0.8,LadyMusgrave,LadyMusgrave_2022
Heron,2022,3,26,Heron Island,3:48,10:46,16:28,22:15,2.65,1.07,2,1.1,Heron,Heron_2022
