"Site","Site.name","Reef.name","SampleYear","Genotype","Tank","Treatment","Site_Rack","Site_Rack_Year","Site_year","Site_geno_year","Collection.date","Type","Qualityscore","PAM_date","PAM_time","F1","F2","F3","Fm.1","Fm.2","Fm.3","Y.II.1","Y.II.2","Y.II.3","Y.II.mean","Y.II.sd","F0mean","FMmean","file","Site_year_tank","meanTemp_hold","meanTemp_hold_corr","eventID"
"EastCay-22Jan","East Cay","East Cay",2021,38,1,"+9C","EastCay-22Jan_629","EastCay-22Jan_629_2021","EastCay-22Jan_2021","EastCay-22Jan_38_2021","2021-01-21","Seasim",0,"22.01.21","22:05:10",0.2863,0.2426,0.1735,0.576,0.5029,0.3819,0.503,0.518,0.546,0.522333333333333,0.0218250620464945,0.234133333333333,0.486933333333333,"../RawData/PAM/2021/EasyCay-22Jan_629.csv","EastCay-22Jan_2021_1",35.46320556,35.46320556,"Ahya_38a"
"EastCay-22Jan","East Cay","East Cay",2021,39,1,"+9C","EastCay-22Jan_630","EastCay-22Jan_630_2021","EastCay-22Jan_2021","EastCay-22Jan_39_2021","2021-01-21","Seasim",0,"22.01.21","22:05:10",0.2716,0.2662,0.3152,0.5348,0.5211,0.6152,0.492,0.489,0.488,0.489666666666667,0.00208166599946613,0.284333333333333,0.557033333333333,"../RawData/PAM/2021/EasyCay-22Jan_630.csv","EastCay-22Jan_2021_1",35.46320556,35.46320556,"Ahya_39a"
"EastCay-22Jan","East Cay","East Cay",2021,40,1,"+9C","EastCay-22Jan_631","EastCay-22Jan_631_2021","EastCay-22Jan_2021","EastCay-22Jan_40_2021","2021-01-21","Seasim",0,"22.01.21","22:05:10",0.1799,0.1912,0.2098,0.3402,0.3721,0.3907,0.471,0.486,0.463,0.473333333333333,0.0116761865920913,0.193633333333333,0.367666666666667,"../RawData/PAM/2021/EasyCay-22Jan_631.csv","EastCay-22Jan_2021_1",35.46320556,35.46320556,"Ahya_40a"
"EastCay-22Jan","East Cay","East Cay",2021,44,1,"+9C","EastCay-22Jan_632","EastCay-22Jan_632_2021","EastCay-22Jan_2021","EastCay-22Jan_44_2021","2021-01-21","Seasim",0,"22.01.21","22:05:10",0.2461,0.2549,0.248,0.4833,0.5069,0.4926,0.491,0.497,0.497,0.495,0.00346410161513776,0.249666666666667,0.494266666666667,"../RawData/PAM/2021/EasyCay-22Jan_632.csv","EastCay-22Jan_2021_1",35.46320556,35.46320556,"Ahya_44a"
"EastCay-22Jan","East Cay","East Cay",2021,42,1,"+9C","EastCay-22Jan_1","EastCay-22Jan_1_2021","EastCay-22Jan_2021","EastCay-22Jan_42_2021","2021-01-21","Seasim",0,"22.01.21","22:06:00",0.1289,0.1152,0.1525,0.2696,0.249,0.3034,0.522,0.537,0.498,0.519,0.019672315572906,0.1322,0.274,"../RawData/PAM/2021/EasyCay-22Jan_1.csv","EastCay-22Jan_2021_1",35.46320556,35.46320556,"Ahya_42a"
"EastCay-22Jan","East Cay","East Cay",2021,43,1,"+9C","EastCay-22Jan_2","EastCay-22Jan_2_2021","EastCay-22Jan_2021","EastCay-22Jan_43_2021","2021-01-21","Seasim",0,"22.01.21","22:06:00",0.2039,0.2044,0.1696,0.3569,0.4,0.3392,0.429,0.489,0.5,0.472666666666667,0.0382143079661706,0.192633333333333,0.365366666666667,"../RawData/PAM/2021/EasyCay-22Jan_2.csv","EastCay-22Jan_2021_1",35.46320556,35.46320556,"Ahya_43a"
"EastCay-22Jan","East Cay","East Cay",2021,41,1,"+9C","EastCay-22Jan_3","EastCay-22Jan_3_2021","EastCay-22Jan_2021","EastCay-22Jan_41_2021","2021-01-21","Seasim",0,"22.01.21","22:06:00",0.2696,0.2221,0.2,0.5093,0.4461,0.3789,0.471,0.502,0.472,0.481666666666667,0.0176162803489651,0.230566666666667,0.444766666666667,"../RawData/PAM/2021/EasyCay-22Jan_3.csv","EastCay-22Jan_2021_1",35.46320556,35.46320556,"Ahya_41a"
"EastCay-22Jan","East Cay","East Cay",2021,45,1,"+9C","EastCay-22Jan_4","EastCay-22Jan_4_2021","EastCay-22Jan_2021","EastCay-22Jan_45_2021","2021-01-21","Seasim",0,"22.01.21","22:06:00",0.2211,0.1902,0.1941,0.4392,0.3833,0.4015,0.497,0.504,0.516,0.505666666666667,0.00960902353693306,0.2018,0.408,"../RawData/PAM/2021/EasyCay-22Jan_4.csv","EastCay-22Jan_2021_1",35.46320556,35.46320556,"Ahya_45a"
"EastCay-22Jan","East Cay","East Cay",2021,51,1,"+9C","EastCay-22Jan_665","EastCay-22Jan_665_2021","EastCay-22Jan_2021","EastCay-22Jan_51_2021","2021-01-21","Seasim",0,"22.01.21","22:06:40",0.1402,0.1868,0.2005,0.298,0.4044,0.4324,0.53,0.538,0.536,0.534666666666667,0.00416333199893227,0.175833333333333,0.378266666666667,"../RawData/PAM/2021/EasyCay-22Jan_665.csv","EastCay-22Jan_2021_1",35.46320556,35.46320556,"Ahya_51a"
"EastCay-22Jan","East Cay","East Cay",2021,38,2,"+6C","EastCay-22Jan_781","EastCay-22Jan_781_2021","EastCay-22Jan_2021","EastCay-22Jan_38_2021","2021-01-21","Seasim",0,"22.01.21","22:14:13",0.1225,0.1902,0.2275,0.3765,0.5917,0.6828,0.674,0.679,0.667,0.673333333333333,0.00602771377334171,0.180066666666667,0.550333333333333,"../RawData/PAM/2021/EasyCay-22Jan_781.csv","EastCay-22Jan_2021_2",32.42165,32.42165,"Ahya_38a"
"EastCay-22Jan","East Cay","East Cay",2021,39,2,"+6C","EastCay-22Jan_782","EastCay-22Jan_782_2021","EastCay-22Jan_2021","EastCay-22Jan_39_2021","2021-01-21","Seasim",0,"22.01.21","22:14:13",0.2279,0.2319,0.2225,0.5804,0.5902,0.5642,0.607,0.607,0.606,0.606666666666667,0.000577350269189626,0.227433333333333,0.578266666666667,"../RawData/PAM/2021/EasyCay-22Jan_782.csv","EastCay-22Jan_2021_2",32.42165,32.42165,"Ahya_39a"
"EastCay-22Jan","East Cay","East Cay",2021,40,2,"+6C","EastCay-22Jan_783","EastCay-22Jan_783_2021","EastCay-22Jan_2021","EastCay-22Jan_40_2021","2021-01-21","Seasim",0,"22.01.21","22:14:13",0.2152,0.174,0.174,0.5574,0.4755,0.4672,0.614,0.634,0.627,0.625,0.0101488915650922,0.187733333333333,0.500033333333333,"../RawData/PAM/2021/EasyCay-22Jan_783.csv","EastCay-22Jan_2021_2",32.42165,32.42165,"Ahya_40a"
"EastCay-22Jan","East Cay","East Cay",2021,44,2,"+6C","EastCay-22Jan_784","EastCay-22Jan_784_2021","EastCay-22Jan_2021","EastCay-22Jan_44_2021","2021-01-21","Seasim",0,"22.01.21","22:14:13",0.174,0.1745,0.1564,0.4593,0.4113,0.3436,0.621,0.576,0.545,0.580666666666667,0.0382143079661706,0.1683,0.404733333333333,"../RawData/PAM/2021/EasyCay-22Jan_784.csv","EastCay-22Jan_2021_2",32.42165,32.42165,"Ahya_44a"
"EastCay-22Jan","East Cay","East Cay",2021,42,2,"+6C","EastCay-22Jan_405","EastCay-22Jan_405_2021","EastCay-22Jan_2021","EastCay-22Jan_42_2021","2021-01-21","Seasim",0,"22.01.21","22:13:51",0.1926,0.148,0.1931,0.525,0.3858,0.4574,0.633,0.616,0.578,0.609,0.0281602556806575,0.1779,0.456066666666667,"../RawData/PAM/2021/EasyCay-22Jan_405.csv","EastCay-22Jan_2021_2",32.42165,32.42165,"Ahya_42a"
