"Site","Site_year","SampleYear","Tank","Site_Rack","Genotype","Rack.Pos","Treatment","MedNDVI","Label","Site_geno_year","Site_year_tank","eventID"
"Chicken","Chicken_2021",2021,1,"Chicken_853",313,853,"+9C",0.0736985877156258,"Chicken_2021_5am_853","Chicken_313_2021","Chicken_2021_1","Ahya_313"
"Chicken","Chicken_2021",2021,1,"Chicken_854",314,854,"+9C",0.168050676584244,"Chicken_2021_5am_854","Chicken_314_2021","Chicken_2021_1","Ahya_314"
"Chicken","Chicken_2021",2021,1,"Chicken_855",315,855,"+9C",0.0967280268669128,"Chicken_2021_5am_855","Chicken_315_2021","Chicken_2021_1","Ahya_315"
"Chicken","Chicken_2021",2021,1,"Chicken_856",316,856,"+9C",0.151496350765228,"Chicken_2021_5am_856","Chicken_316_2021","Chicken_2021_1","Ahya_316"
"Chicken","Chicken_2021",2021,1,"Chicken_501",305,501,"+9C",0.066434845328331,"Chicken_2021_5am_501","Chicken_305_2021","Chicken_2021_1","Ahya_305"
"Chicken","Chicken_2021",2021,1,"Chicken_502",306,502,"+9C",0.100614324212074,"Chicken_2021_5am_502","Chicken_306_2021","Chicken_2021_1","Ahya_306"
"Chicken","Chicken_2021",2021,1,"Chicken_503",307,503,"+9C",0.0636369213461876,"Chicken_2021_5am_503","Chicken_307_2021","Chicken_2021_1","Ahya_307"
"Chicken","Chicken_2021",2021,1,"Chicken_504",308,504,"+9C",0.123810596764088,"Chicken_2021_5am_504","Chicken_308_2021","Chicken_2021_1","Ahya_308"
"Chicken","Chicken_2021",2021,1,"Chicken_305",309,305,"+9C",0.0528533458709717,"Chicken_2021_5am_305","Chicken_309_2021","Chicken_2021_1","Ahya_309"
"Chicken","Chicken_2021",2021,1,"Chicken_307",311,307,"+9C",0.132005155086517,"Chicken_2021_5am_307","Chicken_311_2021","Chicken_2021_1","Ahya_311"
"Chicken","Chicken_2021",2021,1,"Chicken_308",312,308,"+9C",0.123877689242363,"Chicken_2021_5am_308","Chicken_312_2021","Chicken_2021_1","Ahya_312"
"Chicken","Chicken_2021",2021,1,"Chicken_389",325,389,"+9C",0.146069437265396,"Chicken_2021_5am_389","Chicken_325_2021","Chicken_2021_1","Ahya_325"
"Chicken","Chicken_2021",2021,1,"Chicken_390",326,390,"+9C",0.328257113695145,"Chicken_2021_5am_390","Chicken_326_2021","Chicken_2021_1","Ahya_326"
"Chicken","Chicken_2021",2021,1,"Chicken_391",327,391,"+9C",0.111474901437759,"Chicken_2021_5am_391","Chicken_327_2021","Chicken_2021_1","Ahya_327"
"Chicken","Chicken_2021",2021,1,"Chicken_392",328,392,"+9C",0.268809169530869,"Chicken_2021_5am_392","Chicken_328_2021","Chicken_2021_1","Ahya_328"
"Chicken","Chicken_2021",2021,1,"Chicken_1057",329,1057,"+9C",0.333263903856277,"Chicken_2021_5am_1057","Chicken_329_2021","Chicken_2021_1","Ahya_329"
"Chicken","Chicken_2021",2021,1,"Chicken_9",321,9,"+9C",0.0689517706632614,"Chicken_2021_5am_9","Chicken_321_2021","Chicken_2021_1","Ahya_321"
"Chicken","Chicken_2021",2021,1,"Chicken_10",322,10,"+9C",0.271203875541687,"Chicken_2021_5am_10","Chicken_322_2021","Chicken_2021_1","Ahya_322"
"Chicken","Chicken_2021",2021,1,"Chicken_11",323,11,"+9C",0.170221149921417,"Chicken_2021_5am_11","Chicken_323_2021","Chicken_2021_1","Ahya_323"
"Chicken","Chicken_2021",2021,1,"Chicken_12",324,12,"+9C",0.274716049432755,"Chicken_2021_5am_12","Chicken_324_2021","Chicken_2021_1","Ahya_324"
"Chicken","Chicken_2021",2021,1,"Chicken_1045",317,1045,"+9C",0.177880421280861,"Chicken_2021_5am_1045","Chicken_317_2021","Chicken_2021_1","Ahya_317"
"Chicken","Chicken_2021",2021,1,"Chicken_1046",318,1046,"+9C",0.0950649529695511,"Chicken_2021_5am_1046","Chicken_318_2021","Chicken_2021_1","Ahya_318"
"Chicken","Chicken_2021",2021,1,"Chicken_1047",319,1047,"+9C",0.22981171309948,"Chicken_2021_5am_1047","Chicken_319_2021","Chicken_2021_1","Ahya_319"
"Chicken","Chicken_2021",2021,1,"Chicken_1048",320,1048,"+9C",0.116412624716759,"Chicken_2021_5am_1048","Chicken_320_2021","Chicken_2021_1","Ahya_320"
