typeid	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
236983	A	A1	None	8	8	A1-A1gr-A1gd-A1mm-A1bf	883-2523-70639-57992-914	0.656[0.136]-0.126[0.111]-0.098[0.051]-0.081[0.044]-0.039[0.025]
237017	A	A1	None	5	5	A1-A1gr-A1mm	883-2523-57992	0.506[0.044]-0.418[0.034]-0.075[0.014]
236982	A	A1	None	4	9	A1-A1gr-A1gd	883-2523-70639	0.644[0.090]-0.288[0.147]-0.068[0.058]
237144	A	A1ml	None	2	2	A1ml	25063	1.000[0.000]
236936	A	A1	None	1	5	A1/A1gd	883-70639	0.893[nan]-0.107[nan]
236964	A	A1ml	None	1	3	A1/25063_A	25063-883	0.591[nan]-0.409[nan]
238805	C	C3k/C50a/C50b/C50c	None	374	374	C3k/C50a/C50b/C50c-C3ba-C50q-C3-C50f	37/20940/20905/37038-72-21168-32-35	0.436[0.200]/0.136[0.080]/0.117[0.174]/0.100[0.114]-0.090[0.035]-0.051[0.020]-0.042[0.022]-0.027[0.010]
238249	C	C3k	None	70	232	C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a	37-72-20940-21168-32-796-35-161	0.659[0.069]-0.099[0.028]-0.082[0.023]-0.068[0.016]-0.029[0.011]-0.028[0.009]-0.020[0.006]-0.017[0.008]
238252	C	C3k/C50a/C50c	None	19	38	C3k/C50a/C50c-C3-C3ba-C50q-C50f	37/20940/37038-21168-72-32-35	0.488[0.207]/0.166[0.082]/0.139[0.130]-0.075[0.025]-0.073[0.029]-0.036[0.016]-0.024[0.009]
238811	C	C3k	None	18	18	C3k-C3wy-C50a-C3wu-C3ba-C50q	37-780799-20940-780832-72-21168	0.635[0.028]-0.111[0.009]-0.094[0.024]-0.066[0.008]-0.053[0.016]-0.042[0.009]
238819	C	C3wv	None	13	13	C3wv-C3wu-C3k-C3wx-C3wy-C50cb-C3wz	2622343-780832-37-2622348-780799-2622367-2622350	0.307[0.033]-0.157[0.031]-0.144[0.032]-0.137[0.024]-0.110[0.017]-0.082[0.034]-0.064[0.014]
238831	C	C3wv/C3k	None	12	12	C3wv/C3k-C3wu-C3wy-C3wx-C3ww-C3xb	2622343/37-780832-780799-2622348-2622345-2622351	0.280[0.037]/0.194[0.028]-0.161[0.025]-0.134[0.016]-0.091[0.026]-0.076[0.022]-0.064[0.015]
238830	C	C3wv	None	10	10	C3wv-C3k-C3wu-C3wy-C3wx-C3ww-C3xa	2622343-37-780832-780799-2622348-2622345-2622352	0.285[0.033]-0.177[0.038]-0.161[0.025]-0.125[0.027]-0.113[0.024]-0.076[0.018]-0.063[0.015]
238813	C	C50by	None	9	9	C50by-C50bx-C50b-C50ca-C3wv-C50bz-C3wx	2622342-20953-20905-451887-2622343-2622346-2622348	0.281[0.015]-0.163[0.025]-0.144[0.037]-0.130[0.035]-0.119[0.044]-0.108[0.030]-0.055[0.027]
238836	C	C50cf/C50cb/C3wv	None	9	9	C50cf/C50cb/C3wv-C50ce-C50a-C50c-C50cc-C50cd	2622360/2622367/2622343-938807-20940-37038-42976-48146	0.176[0.042]/0.166[0.016]/0.120[0.057]-0.117[0.013]-0.114[0.018]-0.112[0.021]-0.099[0.021]-0.096[0.033]
238818	C	C3k/C50b	None	8	8	C3k/C50b-C3ba-C50a-C50q-C3-C3bh	37/20905-72-20940-21168-32-37192	0.513[0.187]/0.226[0.202]-0.089[0.032]-0.057[0.018]-0.042[0.020]-0.040[0.024]-0.033[0.013]
239608	C	C3k/C1	None	8	27	C3k/C50a/C1-C3-C3ba-C3dq-C50q-C3a	37/2-72-796-20940-161-21168-32	0.491[0.108]-0.103[0.020]/0.090[0.148]-0.081[0.035]-0.070[0.030]-0.056[0.023]-0.055[0.011]-0.055[0.020]
237350	C	C1c	None	7	33	C1/C1c	308-2	0.694[0.027]-0.306[0.027]
238823	C	C3k	None	7	7	C3k-C50a-C3wy-C50b-C3ba-C3wu	37-20940-780799-20905-72-780832	0.615[0.036]-0.108[0.013]-0.098[0.009]-0.068[0.030]-0.057[0.020]-0.054[0.010]
238913	C	C3k	None	6	17	C3/C3k	37-32	0.673[0.070]-0.327[0.070]
238815	C	C3k	None	6	9	C3k/C3bo-C3ba-C50a-C50q-C50b	37-21164-20940-72-21168-20905	0.566[0.065]-0.182[0.070]-0.077[0.027]-0.077[0.027]-0.057[0.013]-0.041[0.021]
